year,seed,team,conference,wins,losses,ps_per_game,pa_per_game,srs,sos,offensive_rating,defensive_rating,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,win_pct
2019,5,Mississippi State,SEC,23,10,77.3,70.4,15.96,9.07,111.9,102.0,27.5,58.3,0.472,18.9,35.5,0.533,8.6,22.8,0.377,13.6,19.0,0.717,11.6,24.2,35.7,14.1,8.1,5.1,13.3,17.2,0.697
2019,4,Virginia Tech,ACC,24,8,73.5,62.1,19.28,7.79,113.3,95.6,25.5,54.3,0.47,16.2,30.5,0.529,9.3,23.7,0.394,13.2,17.3,0.761,8.9,23.8,32.6,15.2,6.7,2.2,11.2,15.2,0.75
2019,3,LSU,SEC,26,6,80.4,73.1,16.5,9.15,111.1,100.9,28.2,61.8,0.457,21.5,40.6,0.529,6.7,21.1,0.319,17.2,22.9,0.752,13.1,25.6,38.7,12.9,8.8,4.2,12.9,18.1,0.812
2019,2,Michigan State,Big Ten,28,6,77.6,65.0,24.93,12.34,113.1,94.8,27.5,57.2,0.48,19.3,35.5,0.543,8.2,21.6,0.378,14.5,19.2,0.753,10.6,29.9,40.5,18.3,5.2,5.3,12.6,16.6,0.824
2019,1,Duke,ACC,29,5,82.7,67.8,26.9,11.97,112.6,92.3,30.4,63.6,0.478,23.1,39.9,0.58,7.3,23.8,0.308,14.5,21.1,0.686,13.0,28.2,41.2,15.9,9.1,6.8,12.8,15.7,0.853
2018,16,Penn,Ivy League,24,8,75.9,68.9,2.24,-3.16,105.3,95.6,27.1,59.0,0.458,18.2,33.8,0.539,8.8,25.2,0.35,13.0,19.7,0.659,8.6,29.0,37.5,15.4,5.9,2.8,11.8,17.2,0.75
2018,15,Iona,MAAC,20,13,79.5,76.5,0.75,-2.19,109.2,105.1,28.1,61.1,0.461,18.6,36.2,0.515,9.5,24.9,0.383,13.6,18.4,0.738,8.6,25.1,33.7,15.9,6.7,3.0,11.6,17.3,0.606
2018,14,Bucknell,Patriot,25,9,81.1,73.1,4.49,-3.46,110.3,99.5,27.6,58.6,0.471,19.6,35.6,0.55,8.0,23.0,0.348,17.9,24.9,0.719,9.3,27.3,36.6,14.4,5.5,4.3,12.5,18.7,0.735
2018,13,College of Charleston,CAA,26,7,74.6,68.6,1.83,-3.29,111.1,102.1,25.7,56.0,0.459,18.1,34.9,0.52,7.6,21.2,0.36,15.5,20.6,0.754,8.4,24.8,33.2,11.4,5.2,3.5,10.0,16.6,0.788
2018,12,New Mexico State,WAC,28,5,75.6,64.2,9.06,-1.1,107.5,91.3,28.3,61.9,0.458,20.7,39.1,0.53,7.6,22.7,0.334,11.4,17.7,0.643,12.6,28.7,41.2,14.1,5.6,3.0,12.6,17.8,0.848
2018,11,Syracuse,ACC,23,14,66.6,63.8,12.88,10.02,102.4,98.0,22.5,53.9,0.417,16.9,36.2,0.466,5.6,17.7,0.318,16.1,21.8,0.736,11.9,25.2,37.2,10.7,7.0,5.4,12.4,16.5,0.622
2018,10,Oklahoma,Big 12,18,13,84.9,81.7,13.81,10.56,109.8,105.6,29.8,64.5,0.462,20.4,38.3,0.533,9.4,26.1,0.359,15.9,21.4,0.746,10.6,27.8,38.4,15.0,6.5,4.7,13.4,17.2,0.581
2018,9,NC State,ACC,21,11,81.3,75.1,12.91,6.7,112.3,103.7,29.2,62.2,0.47,21.3,40.8,0.521,8.0,21.4,0.372,14.8,21.3,0.696,12.2,23.5,35.6,16.1,7.4,3.7,12.1,18.5,0.656
2018,8,Seton Hall,Big East,21,11,79.4,73.9,15.67,10.11,111.0,103.2,28.6,61.0,0.468,21.2,40.8,0.519,7.4,20.1,0.365,15.0,21.4,0.698,12.2,26.1,38.3,15.5,6.2,3.4,12.7,18.1,0.656
2018,7,Rhode Island,Atlantic 10,25,7,76.0,68.8,11.81,4.61,109.0,98.7,28.1,61.6,0.455,21.1,41.9,0.504,6.9,19.7,0.352,12.9,18.5,0.697,11.4,23.0,34.4,15.3,7.3,3.5,10.6,19.0,0.781
2018,6,TCU,Big 12,21,11,82.1,75.4,16.38,9.68,115.1,105.7,29.7,59.8,0.496,21.4,38.8,0.551,8.3,21.0,0.395,14.4,20.4,0.706,11.2,25.2,36.4,18.6,6.5,3.6,12.7,16.8,0.656
2018,5,Clemson,ACC,23,9,73.8,65.9,17.16,9.25,108.5,96.9,25.7,56.3,0.456,17.5,33.9,0.516,8.2,22.5,0.366,14.2,18.9,0.755,8.9,26.9,35.9,13.2,5.7,4.8,11.8,16.1,0.719
2018,4,Auburn,SEC,25,7,81.9,73.2,15.97,7.29,111.5,99.6,26.6,61.8,0.431,17.1,35.1,0.487,9.5,26.7,0.357,19.0,24.6,0.774,12.0,26.0,37.9,14.1,7.4,5.3,12.1,19.8,0.781
2018,3,Michigan State,Big Ten,29,4,80.2,64.9,22.41,7.1,117.3,94.9,28.3,57.0,0.496,20.0,36.3,0.552,8.3,20.7,0.4,15.3,20.5,0.747,11.6,29.5,41.1,19.1,4.1,7.2,13.1,18.3,0.879
2018,2,Duke,ACC,26,7,84.4,69.6,24.43,9.7,118.6,97.9,30.4,61.8,0.492,22.1,39.4,0.56,8.4,22.5,0.372,15.2,21.4,0.71,13.4,27.6,41.1,17.5,7.4,5.0,12.4,15.5,0.788
2018,1,Kansas,Big 12,27,7,81.4,71.9,21.39,11.88,115.5,102.0,29.9,60.7,0.492,19.8,35.7,0.556,10.0,25.0,0.401,11.6,16.4,0.708,9.8,25.8,35.6,16.6,6.5,4.1,11.7,15.3,0.794
2018,16,Radford,Big South,23,13,67.3,64.9,-2.62,-4.09,104.3,100.6,23.6,55.6,0.425,15.9,33.5,0.475,7.7,22.0,0.349,12.4,17.1,0.725,11.5,23.0,34.6,12.3,6.3,2.9,12.3,16.6,0.639
2018,15,Cal State Fullerton,Big West,20,11,72.4,70.2,-0.93,-1.03,102.8,99.5,25.1,53.8,0.467,19.9,38.2,0.522,5.2,15.6,0.334,17.0,23.3,0.729,8.8,26.3,35.1,12.6,6.3,3.3,14.2,18.1,0.645
2018,14,Stephen F. Austin,Southland,28,6,80.5,68.2,2.66,-6.46,109.2,92.4,28.6,58.8,0.486,21.7,40.2,0.538,6.9,18.6,0.372,16.5,23.4,0.705,11.5,24.2,35.7,14.2,10.3,3.1,15.4,21.9,0.824
2018,13,Marshall,Conference USA,24,10,83.8,79.1,4.21,0.43,108.7,102.7,28.9,62.0,0.467,18.9,33.9,0.557,10.1,28.1,0.358,15.9,20.8,0.764,8.1,27.6,35.8,17.1,7.0,5.8,13.2,17.1,0.706
