team,year,conference,seed,wins,losses,win_pct,ps_per_game,pa_per_game,srs,sos,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,offensive_rating,defensive_rating,ncaa_wins,ncaa_loss
Butler,2017,Big East,4,23,8,0.742,76.3,68.9,17.7,10.23,26.6,55.8,0.477,19.0,34.8,0.545,7.7,21.0,0.366,15.4,20.7,0.741,8.4,23.6,32.1,13.3,6.1,2.8,10.2,18.8,112.6,101.6,"Winthrop, Middle Tennessee",North Carolina
UCLA,2017,Pac-12,3,29,4,0.879,89.8,75.5,20.67,6.39,33.6,64.4,0.522,23.8,40.2,0.591,9.8,24.2,0.406,12.8,17.3,0.738,9.5,29.0,38.5,21.4,5.9,5.3,11.2,16.2,121.0,101.8,"Kent State, Cincinnati",Kentucky
Kentucky,2017,SEC,2,29,5,0.853,84.9,71.5,23.88,10.49,29.8,63.1,0.473,22.8,43.1,0.529,7.0,19.9,0.353,18.2,25.8,0.704,12.4,27.4,39.8,15.4,6.0,5.3,11.7,18.8,113.8,95.9,"Northern Kentucky, Wichita State, UCLA",North Carolina
North Carolina,2017,ACC,1,27,7,0.794,84.4,70.6,24.84,11.76,30.7,65.8,0.466,23.6,45.9,0.514,7.1,20.0,0.355,16.1,22.9,0.701,15.8,28.0,43.7,18.1,7.1,3.5,11.8,17.8,116.0,97.0,"Texas Southern, Arkansas, Butler, Kentucky, Oregon, Gonzaga",
North Carolina Central,2017,MEAC,16,25,8,0.758,74.8,63.5,-3.18,-12.12,26.8,59.0,0.454,19.3,36.6,0.527,7.5,22.4,0.335,13.7,20.1,0.683,11.7,26.9,38.6,14.1,6.1,3.3,11.9,17.3,108.7,92.3,,UC Davis
Jacksonville State,2017,Ohio Valley,15,20,14,0.588,69.5,67.9,-2.85,-3.24,24.5,53.4,0.459,17.1,33.8,0.506,7.4,19.6,0.377,13.2,18.5,0.714,10.1,25.4,35.5,14.1,4.5,3.8,13.6,17.9,105.7,103.3,,Louisville
Iona,2017,MAAC,14,22,12,0.647,80.4,76.8,1.07,-2.47,28.0,61.6,0.454,18.2,36.9,0.493,9.8,24.6,0.397,14.7,19.1,0.768,9.6,26.1,35.7,15.5,6.8,3.1,12.0,19.1,109.9,105.1,,Oregon
Vermont,2017,America East,13,29,5,0.853,73.5,62.1,6.67,-3.27,26.9,54.5,0.494,20.4,36.8,0.554,6.5,17.7,0.369,13.0,18.6,0.7,9.3,24.7,34.1,13.6,5.7,4.3,11.2,15.9,112.3,95.0,,Purdue
Nevada,2017,Mountain West,12,28,6,0.824,79.8,71.3,10.49,2.03,26.7,59.5,0.448,17.5,35.6,0.492,9.1,23.9,0.382,17.3,24.5,0.705,11.0,27.6,38.6,16.0,5.4,4.3,11.0,16.6,112.1,100.2,,Iowa State
Rhode Island,2017,Atlantic 10,11,24,9,0.727,73.6,65.4,12.88,4.62,26.2,57.7,0.454,20.0,39.0,0.512,6.2,18.7,0.332,15.1,22.6,0.668,11.7,25.5,37.2,13.3,6.5,5.9,11.1,20.7,108.8,96.6,Creighton,Oregon
Oklahoma State,2017,Big 12,10,20,12,0.625,85.7,78.5,19.18,12.22,29.0,62.1,0.467,20.1,39.9,0.503,8.9,22.2,0.402,18.8,23.8,0.789,13.8,23.1,36.8,14.7,7.6,3.0,13.1,22.1,117.8,107.9,,Michigan
Michigan State,2017,Big Ten,9,19,14,0.576,71.9,68.7,13.67,10.5,25.9,55.1,0.47,18.1,34.1,0.529,7.8,20.9,0.373,12.3,18.5,0.669,9.4,27.1,36.4,16.9,4.3,4.6,14.0,20.0,105.0,100.4,Miami (FL),Kansas
Miami (FL),2017,ACC,8,21,11,0.656,69.0,64.1,14.48,9.57,24.6,54.5,0.452,18.3,36.8,0.498,6.3,17.8,0.356,13.4,18.7,0.718,11.0,24.6,35.6,11.8,6.5,3.8,12.6,15.5,106.3,98.7,,Michigan State
Michigan,2017,Big Ten,7,24,11,0.686,75.0,66.4,18.8,10.17,26.4,54.6,0.483,16.9,30.0,0.563,9.5,24.7,0.385,12.8,16.4,0.779,7.4,21.9,29.2,13.9,5.8,2.8,9.2,15.0,116.5,103.1,"Oklahoma State, Louisville",Oregon
Creighton,2017,Big East,6,25,9,0.735,81.8,72.8,17.27,8.95,30.8,61.1,0.504,22.1,39.2,0.565,8.7,21.9,0.397,11.5,16.9,0.682,8.3,26.7,34.9,17.1,6.1,2.9,12.4,16.6,112.3,100.0,,Rhode Island
Iowa State,2017,Big 12,5,23,10,0.697,80.8,72.3,20.51,11.94,29.5,62.5,0.472,19.6,37.9,0.518,9.8,24.6,0.4,12.1,17.3,0.7,9.1,25.7,34.8,15.8,7.8,3.5,10.1,15.9,112.5,100.6,Nevada,Purdue
Purdue,2017,Big Ten,4,25,7,0.781,79.7,68.4,20.13,8.79,28.0,58.4,0.479,19.0,36.1,0.527,9.0,22.3,0.403,14.7,19.4,0.757,9.8,27.9,37.8,18.3,5.2,2.5,13.0,15.8,112.6,96.6,"Vermont, Iowa State",Kansas
Oregon,2017,Pac-12,3,29,5,0.853,78.9,65.8,20.8,8.38,28.0,58.2,0.481,19.4,35.6,0.545,8.6,22.6,0.38,14.4,20.2,0.712,10.6,26.1,36.7,15.7,6.5,6.4,11.6,15.7,114.2,95.2,"Iona, Rhode Island, Michigan, Kansas",North Carolina
Louisville,2017,ACC,2,24,8,0.75,77.3,66.0,22.47,11.15,28.0,61.3,0.457,21.0,41.6,0.505,7.0,19.7,0.355,14.3,20.8,0.686,13.4,26.1,39.5,13.6,6.7,5.5,11.0,19.2,112.0,95.6,Jacksonville State,Michigan
Kansas,2017,Big 12,1,28,4,0.875,83.2,71.9,23.53,12.23,29.8,60.9,0.488,20.9,39.1,0.536,8.8,21.9,0.404,14.9,21.9,0.678,11.9,26.8,38.7,16.2,6.9,4.5,12.7,17.8,115.4,99.7,"UC Davis, Michigan State, Purdue",Oregon
South Dakota State,2017,Summit League,16,18,16,0.529,76.7,77.1,-2.3,-0.66,25.2,55.4,0.455,16.1,30.1,0.534,9.1,25.2,0.36,17.2,22.3,0.771,9.0,26.1,35.1,13.1,5.1,2.4,12.9,16.7,109.6,110.2,,Gonzaga
North Dakota,2017,Big Sky,15,22,9,0.71,80.6,73.7,-1.83,-5.45,28.9,60.0,0.483,21.8,41.7,0.523,7.1,18.3,0.39,15.6,21.8,0.713,9.3,26.5,35.8,15.2,7.8,2.9,13.1,21.0,108.8,99.5,,Arizona
Florida Gulf Coast,2017,Atlantic Sun,14,26,7,0.788,79.4,69.3,2.26,-3.42,29.6,59.3,0.499,23.1,40.6,0.569,6.5,18.7,0.347,13.7,19.5,0.702,11.1,26.2,37.3,15.5,6.1,3.4,12.4,18.7,113.8,99.3,,Florida State
Bucknell,2017,Patriot,13,26,8,0.765,76.3,67.9,5.89,-2.48,26.9,56.0,0.48,18.7,34.5,0.543,8.2,21.5,0.379,14.2,20.9,0.681,8.6,25.7,34.4,14.6,7.2,3.8,13.3,18.7,107.9,96.1,,West Virginia
Princeton,2017,Ivy League,12,23,6,0.793,71.6,61.4,6.57,-1.84,25.7,57.2,0.45,15.8,30.9,0.511,9.9,26.3,0.378,10.2,13.9,0.738,8.2,25.2,33.4,14.2,6.7,3.1,9.9,16.1,109.5,93.9,,Notre Dame
Xavier,2017,Big East,11,21,13,0.618,74.6,71.3,14.8,11.51,25.8,56.5,0.457,18.8,36.1,0.52,7.0,20.4,0.345,16.0,23.2,0.688,11.9,25.4,37.3,14.7,6.0,2.6,12.6,18.7,109.1,104.2,"Maryland, Florida State, Arizona",Gonzaga
VCU,2017,Atlantic 10,10,26,8,0.765,74.7,66.9,11.57,3.77,27.0,58.6,0.461,21.3,41.4,0.515,5.7,17.2,0.331,15.1,21.3,0.705,11.0,25.4,36.4,15.0,7.5,3.9,12.4,20.8,106.8,95.6,,Saint Mary's (CA)
Vanderbilt,2017,SEC,9,19,15,0.559,71.1,68.1,13.69,10.72,23.3,54.2,0.43,13.4,27.9,0.481,9.9,26.3,0.376,14.7,18.9,0.777,8.2,26.3,34.5,12.9,4.2,3.8,12.3,16.6,105.5,101.1,,Northwestern
Northwestern,2017,Big Ten,8,23,11,0.676,71.1,65.5,14.02,8.43,25.4,58.1,0.436,18.3,37.4,0.488,7.1,20.7,0.342,13.3,17.7,0.748,10.7,25.5,36.2,15.0,5.3,4.9,10.6,19.2,106.8,98.4,Vanderbilt,Gonzaga
Saint Mary's,2017,WCC,7,28,4,0.875,72.0,57.5,16.75,2.19,26.2,52.9,0.496,17.6,31.0,0.569,8.6,21.9,0.394,10.9,14.7,0.745,9.5,25.9,35.4,16.6,4.2,3.2,10.7,15.1,117.6,93.8,Virginia Commonwealth,Arizona
Maryland,2017,Big Ten,6,24,8,0.75,73.9,68.1,12.79,8.29,25.1,55.8,0.449,16.8,32.8,0.512,8.2,22.9,0.359,15.5,22.2,0.699,10.6,24.9,35.5,14.3,5.5,4.7,12.9,18.6,108.1,99.6,,Xavier
Notre Dame,2017,ACC,5,25,9,0.735,77.3,69.3,17.8,9.78,27.2,59.4,0.458,17.9,35.3,0.509,9.3,24.1,0.384,13.6,17.0,0.8,9.3,24.4,33.7,15.7,7.1,3.7,9.5,14.8,113.8,102.0,Princeton,West Virginia
West Virginia,2017,Big 12,4,26,8,0.765,81.5,66.7,24.45,9.67,28.6,63.1,0.454,21.2,42.5,0.498,7.4,20.5,0.362,16.8,24.5,0.685,14.4,23.1,37.5,16.4,10.0,4.8,12.3,20.4,112.2,91.8,"Bucknell, Notre Dame",Gonzaga
Florida State,2017,ACC,3,25,8,0.758,82.1,72.1,18.87,8.87,29.6,61.3,0.483,22.9,42.1,0.544,6.7,19.2,0.347,16.2,23.5,0.689,11.7,26.1,37.8,14.6,7.4,5.1,11.9,19.5,113.1,99.3,Florida Gulf Coast,Xavier
Arizona,2017,Pac-12,2,30,4,0.882,76.6,65.9,18.25,7.63,26.4,55.4,0.477,19.8,38.5,0.515,6.6,16.9,0.39,17.2,22.4,0.765,10.3,26.4,36.7,13.5,5.4,3.2,11.2,16.9,113.8,98.0,"North Dakota, Saint Mary's (CA)",Xavier
Gonzaga,2017,WCC,1,32,1,0.97,82.6,61.5,25.26,4.13,29.5,58.5,0.504,22.1,39.3,0.564,7.3,19.2,0.382,16.4,22.8,0.717,9.7,31.0,40.7,15.3,6.8,4.7,11.5,16.9,116.5,86.7,"South Dakota State, Northwestern, West Virginia, Xavier, South Carolina",North Carolina
Mount St. Mary's,2017,NEC,16,19,15,0.559,67.9,68.7,-4.29,-3.51,24.4,54.9,0.444,17.1,34.6,0.494,7.3,20.3,0.358,12.0,17.8,0.673,7.7,22.4,30.1,11.2,6.2,3.9,13.1,17.8,99.1,100.2,New Orleans,Villanova
Troy,2017,Sun Belt,15,22,14,0.611,78.1,72.1,-0.47,-3.36,26.5,58.2,0.456,18.1,34.8,0.522,8.4,23.4,0.359,16.6,22.9,0.725,11.1,25.8,36.8,13.1,6.0,3.5,12.5,17.7,111.0,102.4,,Duke
New Mexico State,2017,WAC,14,28,5,0.848,78.8,67.9,4.66,-3.82,26.9,57.6,0.467,19.4,35.6,0.546,7.4,22.0,0.337,17.6,24.8,0.712,12.8,26.6,39.4,14.9,4.9,3.8,13.7,18.4,112.1,96.7,,Baylor
East Tennessee State,2017,Southern,13,27,7,0.794,79.5,69.7,7.31,-2.11,27.4,56.2,0.488,19.9,36.4,0.546,7.6,19.8,0.382,17.1,24.3,0.702,10.2,26.1,36.3,14.7,8.4,4.6,14.8,19.9,110.2,96.6,,Florida
UNC Wilmington,2017,CAA,12,29,5,0.853,84.8,75.0,8.06,-0.55,30.6,63.7,0.48,21.0,37.5,0.559,9.6,26.2,0.366,14.0,20.2,0.691,12.1,24.0,36.0,16.1,6.7,3.3,10.4,20.0,118.1,104.4,,Virginia
Providence,2017,Big East,11,20,12,0.625,70.3,66.9,11.23,7.84,24.4,54.4,0.448,17.1,34.8,0.491,7.2,19.5,0.371,14.3,20.7,0.691,8.9,24.5,33.4,14.3,6.6,3.0,12.5,17.2,103.6,98.6,,Southern California
Marquette,2017,Big East,10,19,12,0.613,82.2,75.6,15.26,8.6,28.7,59.0,0.487,18.2,34.5,0.528,10.5,24.5,0.429,14.3,18.3,0.781,8.8,24.3,33.1,16.4,7.2,3.6,12.4,19.4,115.2,105.9,,South Carolina
Virginia Tech,2017,ACC,9,22,10,0.688,79.1,74.7,12.77,8.38,26.9,54.9,0.489,18.1,33.1,0.546,8.8,21.8,0.403,16.5,22.5,0.737,7.3,25.1,32.4,15.1,4.0,2.8,12.1,16.5,112.5,106.3,,Wisconsin
Wisconsin,2017,Big Ten,8,25,9,0.735,72.4,62.4,19.4,9.4,26.2,57.7,0.455,18.6,36.4,0.511,7.6,21.3,0.359,12.2,19.0,0.644,12.4,24.8,37.2,13.6,6.8,3.5,11.1,16.3,110.7,95.4,"Virginia Tech, Villanova",Florida
South Carolina,2017,SEC,7,22,10,0.688,73.2,65.2,17.52,10.16,25.0,59.4,0.421,18.3,39.6,0.462,6.7,19.8,0.338,16.5,23.6,0.699,12.5,23.8,36.4,12.6,7.8,3.8,13.0,20.3,102.9,91.8,"Marquette, Duke, Baylor, Florida",Gonzaga
SMU,2017,American,6,30,4,0.882,74.3,60.0,18.71,4.45,26.1,55.3,0.473,17.9,35.1,0.511,8.2,20.1,0.406,13.9,19.9,0.697,11.9,26.3,38.1,16.2,5.7,3.3,10.8,14.5,116.6,94.2,,Southern California
Virginia,2017,ACC,5,22,10,0.688,66.1,56.4,20.63,10.93,24.7,53.6,0.46,17.9,35.9,0.497,6.8,17.7,0.385,9.9,13.9,0.709,8.7,24.2,32.9,13.9,5.6,4.1,9.5,16.4,107.9,92.1,UNC Wilmington,Florida
Florida,2017,SEC,4,24,8,0.75,77.9,66.5,22.4,11.01,26.5,58.8,0.45,18.8,37.3,0.503,7.7,21.6,0.358,17.2,23.6,0.729,11.6,25.4,37.0,12.5,7.6,4.6,12.0,18.4,110.0,93.9,"East Tennessee State, Virginia, Wisconsin",South Carolina
Baylor,2017,Big 12,3,25,7,0.781,72.9,63.7,19.75,11.87,26.3,55.9,0.471,19.7,37.6,0.525,6.6,18.3,0.359,13.7,18.9,0.723,12.9,25.1,38.0,15.5,5.1,4.7,13.4,17.6,111.5,97.5,"New Mexico State, Southern California",South Carolina
Duke,2017,ACC,2,27,8,0.771,80.8,70.2,21.56,10.91,27.5,57.9,0.475,19.1,35.7,0.536,8.4,22.2,0.378,17.4,22.8,0.762,10.5,25.7,36.2,13.1,6.1,4.6,11.4,18.2,115.7,100.5,Troy,South Carolina
Villanova,2017,Big East,1,31,3,0.912,77.2,62.7,23.8,9.28,26.8,54.1,0.495,18.2,30.7,0.592,8.6,23.4,0.369,14.9,18.9,0.79,8.8,24.8,33.6,14.0,7.2,3.0,11.2,14.3,117.6,95.5,Mount St. Mary's,Wisconsin
Hampton,2016,MEAC,16,21,10,0.677,73.8,74.1,-8.74,-8.45,25.3,61.5,0.412,18.9,40.3,0.469,6.4,21.2,0.304,16.8,25.5,0.659,14.0,27.3,41.3,11.9,5.3,3.7,13.8,20.3,101.0,101.3,,Virginia
Middle Tennessee,2016,C-USA,15,24,9,0.727,72.5,68.9,2.66,-0.7,26.0,57.9,0.449,18.0,37.4,0.481,8.0,20.5,0.39,12.6,20.5,0.616,10.5,26.1,36.7,13.0,6.1,3.5,12.0,20.0,104.7,99.3,Michigan State,Syracuse
Fresno State,2016,Mountain West,14,25,9,0.735,75.1,70.7,5.27,2.24,26.5,60.7,0.436,20.2,42.5,0.475,6.3,18.2,0.343,16.0,23.0,0.694,11.7,25.3,36.9,13.3,8.4,3.9,10.8,21.8,105.7,99.5,,Utah
Iona,2016,MAAC,13,22,10,0.688,79.6,74.3,3.58,-1.78,27.8,60.9,0.457,17.9,34.2,0.525,9.9,26.8,0.37,14.0,19.7,0.711,10.5,26.4,36.9,16.7,7.5,4.1,12.8,19.5,109.5,102.1,,Iowa State
Little Rock,2016,Sun Belt,12,29,4,0.879,71.1,60.8,7.12,-1.76,25.3,55.9,0.453,17.7,36.1,0.49,7.6,19.8,0.384,12.8,17.6,0.729,9.3,24.9,34.1,12.9,6.6,3.0,10.1,18.3,109.1,93.4,Purdue,Iowa State
Gonzaga,2016,WCC,11,26,7,0.788,78.9,65.6,16.92,4.23,28.1,57.8,0.486,20.3,37.3,0.544,7.8,20.5,0.381,14.9,19.7,0.758,10.6,29.0,39.6,13.9,5.1,3.1,11.6,17.3,115.4,95.9,"Seton Hall, Utah",Syracuse
Syracuse,2016,ACC,10,19,13,0.594,70.0,65.1,14.62,9.75,23.9,56.2,0.425,15.4,32.5,0.473,8.5,23.7,0.36,13.7,19.9,0.688,12.0,23.6,35.6,13.3,8.1,4.4,11.9,16.2,106.7,99.3,"Dayton, Middle Tennessee, Gonzaga, Virginia",North Carolina
Butler,2016,Big East,9,21,10,0.677,79.9,71.0,16.46,7.55,27.8,59.7,0.466,20.7,41.5,0.499,7.2,18.2,0.393,17.2,23.5,0.731,11.1,24.9,36.0,14.2,6.9,3.2,10.2,19.6,114.0,101.3,Texas Tech,Virginia
Texas Tech,2016,Big 12,8,19,12,0.613,72.0,69.9,12.41,10.25,24.5,54.8,0.448,18.8,38.1,0.492,5.8,16.7,0.346,17.2,23.2,0.742,10.2,23.8,33.9,13.1,5.9,4.2,12.0,18.4,106.7,103.5,,Butler
Dayton,2016,Atlantic 10,7,25,7,0.781,72.5,65.9,11.34,4.76,25.3,55.6,0.455,18.6,36.2,0.516,6.7,19.5,0.344,15.2,22.7,0.668,9.9,28.4,38.3,14.5,5.9,4.4,12.9,19.0,104.5,95.0,,Syracuse
Seton Hall,2016,Big East,6,25,8,0.758,74.2,67.8,14.66,8.28,26.2,58.8,0.446,20.2,41.3,0.488,6.1,17.5,0.347,15.6,23.8,0.658,12.9,27.0,39.9,13.4,7.4,4.6,13.8,18.7,104.5,95.5,,Gonzaga
Purdue,2016,Big Ten,5,26,8,0.765,77.9,65.2,20.17,7.46,27.4,58.3,0.47,19.8,37.5,0.528,7.7,20.9,0.367,15.4,20.7,0.744,11.6,29.6,41.2,17.6,4.2,4.7,12.0,17.3,113.7,95.2,,Little Rock
Iowa State,2016,Big 12,4,21,11,0.656,81.8,75.0,16.93,10.16,31.1,61.7,0.503,22.7,40.0,0.567,8.4,21.7,0.387,11.3,16.1,0.702,8.7,26.9,35.5,16.5,6.2,4.1,11.4,15.5,113.1,103.7,"Iona, Little Rock",Virginia
Utah,2016,Pac-12,3,26,8,0.765,77.2,69.5,15.5,8.79,27.1,55.6,0.489,19.6,34.8,0.561,7.6,20.7,0.366,15.3,21.2,0.721,9.6,27.4,37.1,15.5,5.5,4.1,12.5,15.3,112.5,101.3,Fresno State,Gonzaga
Michigan State,2016,Big Ten,2,29,5,0.853,79.8,64.1,22.59,6.94,28.8,59.4,0.486,19.7,38.3,0.514,9.2,21.1,0.434,13.0,17.8,0.729,12.2,29.3,41.5,20.5,4.5,5.1,11.6,19.2,118.6,95.3,,Middle Tennessee
Virginia,2016,ACC,1,26,7,0.788,71.0,60.1,22.04,11.12,26.1,53.1,0.491,20.0,38.0,0.526,6.1,15.1,0.402,12.8,17.0,0.752,8.7,23.4,32.1,14.9,5.4,3.2,9.3,16.1,115.0,97.3,"Hampton, Butler, Iowa State",Syracuse
Florida Gulf Coast,2016,Atlantic Sun,16,20,13,0.606,77.2,70.7,-0.79,-3.82,28.8,60.2,0.479,23.5,45.1,0.521,5.3,15.1,0.353,14.3,22.2,0.644,11.9,28.7,40.6,13.8,6.6,4.0,12.5,19.3,108.1,98.9,FDU,North Carolina
Weber State,2016,Big Sky,15,26,8,0.765,76.1,67.0,0.18,-5.13,25.9,53.9,0.482,17.6,31.4,0.561,8.3,22.4,0.371,15.9,23.5,0.676,8.6,28.5,37.0,13.6,5.0,3.4,13.2,17.5,109.4,96.3,,Xavier
Stephen F. Austin,2016,Southland,14,27,5,0.844,80.2,63.3,9.23,-5.47,28.6,59.8,0.478,20.7,38.0,0.545,7.9,21.8,0.363,15.1,20.6,0.735,11.9,23.0,34.9,18.7,9.1,3.6,12.1,20.6,115.2,90.9,West Virginia,Notre Dame
Stony Brook,2016,America East,13,26,6,0.812,76.2,64.1,3.75,-5.28,28.3,60.4,0.468,21.6,42.2,0.511,6.7,18.1,0.368,13.0,19.3,0.673,12.9,26.8,39.8,16.4,6.2,4.5,11.5,15.8,112.0,94.2,,Kentucky
Chattanooga,2016,Southern,12,29,5,0.853,75.8,67.5,3.24,-3.46,25.6,56.1,0.457,18.1,35.3,0.515,7.5,20.8,0.359,17.0,23.2,0.735,10.9,24.6,35.5,14.4,7.8,4.7,12.5,17.0,110.5,98.5,,Indiana
Michigan,2016,Big Ten,11,22,12,0.647,73.8,67.4,13.74,7.92,26.3,56.9,0.462,16.8,31.9,0.527,9.5,25.0,0.38,11.7,15.8,0.738,8.1,23.9,32.0,14.9,5.6,2.3,9.7,15.5,111.9,102.2,Tulsa,Notre Dame
Pittsburgh,2016,ACC,10,21,11,0.656,75.0,67.3,15.47,8.75,26.6,58.2,0.458,20.4,40.3,0.507,6.2,17.8,0.346,15.6,20.8,0.752,12.6,25.5,38.1,16.6,4.9,3.7,11.6,17.6,112.2,100.6,,Wisconsin
Providence,2016,Big East,9,23,10,0.697,73.6,70.1,11.94,8.46,25.2,59.8,0.421,18.1,37.6,0.48,7.1,22.2,0.321,16.2,22.3,0.725,11.5,24.6,36.1,15.7,6.5,3.5,11.3,16.9,104.4,99.4,Southern California,North Carolina
USC,2016,Pac-12,8,21,12,0.636,80.5,74.6,13.52,7.64,28.9,62.9,0.459,21.1,42.6,0.494,7.8,20.2,0.387,14.9,22.1,0.676,11.8,27.5,39.3,14.8,6.3,5.3,12.2,17.4,109.4,101.4,,Providence
Wisconsin,2016,Big Ten,7,20,12,0.625,67.8,63.8,13.4,9.4,23.3,54.8,0.426,16.8,36.0,0.466,6.5,18.7,0.349,14.6,20.8,0.703,11.4,23.7,35.1,11.4,5.9,3.3,11.0,16.8,105.1,98.9,"Pittsburgh, Xavier",Notre Dame
Notre Dame,2016,ACC,6,21,11,0.656,75.1,70.6,14.1,9.57,27.0,56.7,0.476,19.7,37.3,0.529,7.3,19.4,0.374,13.8,18.6,0.742,10.6,24.6,35.1,13.3,5.5,4.0,10.0,15.1,115.2,108.3,"Michigan, Stephen F. Austin, Wisconsin",North Carolina
Indiana,2016,Big Ten,5,25,7,0.781,82.6,69.9,19.59,6.9,29.2,58.1,0.502,19.3,34.4,0.562,9.9,23.7,0.415,14.4,19.7,0.733,11.8,25.0,36.8,16.0,6.8,3.9,13.5,18.5,119.2,100.9,"Chattanooga, Kentucky",North Carolina
Kentucky,2016,SEC,4,26,8,0.765,79.5,68.1,20.23,8.84,28.6,59.7,0.478,21.8,41.2,0.529,6.8,18.5,0.366,15.6,22.6,0.69,12.8,25.9,38.8,14.2,5.7,5.8,10.8,20.4,115.6,99.0,Stony Brook,Indiana
West Virginia,2016,Big 12,3,26,8,0.765,78.5,66.7,21.61,9.78,26.9,60.1,0.449,21.0,41.7,0.503,6.0,18.4,0.325,18.7,27.8,0.673,15.9,23.5,39.4,14.6,9.8,2.7,14.2,23.4,110.3,93.7,,Stephen F. Austin
Xavier,2016,Big East,2,27,5,0.844,80.5,70.4,18.58,8.43,27.3,60.4,0.452,19.8,39.8,0.498,7.5,20.6,0.363,18.4,25.2,0.73,12.8,28.0,40.8,16.1,7.2,3.0,12.6,19.9,111.2,97.1,Weber State,Wisconsin
North Carolina,2016,ACC,1,28,6,0.824,82.8,70.0,23.44,10.69,30.9,64.0,0.482,25.3,46.9,0.539,5.6,17.1,0.327,15.4,20.7,0.747,14.2,26.4,40.6,17.7,6.7,4.4,10.8,18.0,118.0,99.8,"Florida Gulf Coast, Providence, Indiana, Notre Dame, Syracuse",Villanova
Holy Cross,2016,Patriot,16,14,19,0.424,64.8,69.9,-11.2,-6.11,22.1,53.7,0.412,15.0,31.7,0.472,7.2,22.0,0.326,13.3,19.4,0.687,8.0,22.1,30.1,13.7,6.3,2.5,11.0,16.7,98.4,106.2,Southern,Oregon
Cal State Bakersfield,2016,WAC,15,24,8,0.75,72.9,63.8,2.58,-5.15,26.5,58.8,0.451,21.1,42.9,0.492,5.4,15.9,0.342,14.4,22.0,0.656,12.5,25.7,38.3,15.6,8.0,5.0,12.3,21.4,105.8,92.6,,Oklahoma
Green Bay,2016,Horizon,14,23,12,0.657,83.7,80.0,1.16,-0.67,29.1,65.3,0.446,22.0,45.0,0.49,7.1,20.3,0.349,18.4,28.0,0.657,12.7,25.8,38.5,13.9,9.9,4.6,12.3,20.1,107.1,102.4,,Texas A&M
UNC Wilmington,2016,CAA,13,25,7,0.781,79.4,72.1,6.25,0.35,28.1,61.8,0.455,21.2,41.3,0.512,7.0,20.5,0.34,16.2,23.0,0.703,12.0,25.5,37.5,13.3,7.5,4.3,11.3,24.0,110.0,99.9,,Duke
Yale,2016,Ivy League,12,22,6,0.786,74.9,63.8,9.08,-1.02,26.5,56.4,0.47,20.2,39.0,0.517,6.3,17.4,0.363,15.6,23.3,0.67,13.6,26.7,40.3,15.1,5.7,4.6,13.3,17.7,111.5,94.9,Baylor,Duke
Northern Iowa,2016,Missouri Valley,11,22,12,0.647,68.8,64.0,8.78,4.44,23.6,51.8,0.455,15.3,29.7,0.516,8.3,22.1,0.374,13.3,17.6,0.757,5.4,24.9,30.3,11.9,5.7,2.6,9.9,15.6,106.2,98.8,Texas,Texas A&M
VCU,2016,Atlantic 10,10,24,10,0.706,77.2,67.8,13.83,4.35,28.1,62.2,0.451,20.8,41.5,0.501,7.3,20.7,0.352,13.9,20.0,0.692,12.4,25.0,37.4,14.3,8.6,3.8,11.3,19.6,110.0,96.5,Oregon State,Oklahoma
Cincinnati,2016,American,9,22,10,0.688,73.3,63.3,15.19,5.25,25.8,60.0,0.43,18.2,38.0,0.477,7.6,22.0,0.348,14.1,19.9,0.705,13.4,25.8,39.1,15.4,7.8,5.8,11.0,15.5,108.9,94.2,,Saint Joseph's
Saint Joseph's,2016,Atlantic 10,8,27,7,0.794,77.2,70.1,12.1,4.93,27.1,59.8,0.453,20.1,38.5,0.523,7.0,21.3,0.327,16.0,22.4,0.716,10.1,28.2,38.3,14.8,5.1,3.3,9.9,16.2,109.7,99.5,Cincinnati,Oregon
Oregon State,2016,Pac-12,7,19,12,0.613,71.9,70.1,10.39,9.26,25.3,57.6,0.44,18.5,39.3,0.472,6.8,18.3,0.371,14.4,21.5,0.671,10.5,23.9,34.4,13.5,7.4,3.3,11.3,20.1,105.1,102.5,,Virginia Commonwealth
Texas,2016,Big 12,6,20,12,0.625,71.4,68.3,14.8,11.71,24.7,57.1,0.432,17.6,36.5,0.484,7.0,20.6,0.341,15.0,22.5,0.666,11.0,23.5,34.5,11.4,5.1,4.4,10.3,20.8,106.1,101.5,,Northern Iowa
Baylor,2016,Big 12,5,22,11,0.667,77.1,69.6,16.13,9.76,27.4,58.9,0.466,21.3,42.1,0.505,6.2,16.8,0.367,16.0,22.1,0.725,13.7,23.5,37.3,17.7,7.9,4.0,12.7,19.4,112.8,101.8,,Yale
Duke,2016,ACC,4,23,10,0.697,81.1,72.5,19.23,10.59,27.3,59.3,0.46,18.2,35.7,0.51,9.1,23.6,0.385,17.4,24.1,0.723,11.8,24.2,36.0,13.3,6.3,4.3,9.8,16.8,117.7,105.2,"UNC Wilmington, Yale",Oregon
