unique_ncaa_team,lower_ncaa_team
North Carolina A&T,north-carolina-a&t
North Carolina Central,north-carolina-central
North Carolina State,north-carolina-state
North Dakota,north-dakota
North Dakota State,north-dakota-state
North Florida,north-florida
North Texas,north-texas
Northeast Louisiana,louisiana-monroe
Northeastern,northeastern
Northern Arizona,northern-arizona
Northern Colorado,northern-colorado
Northern Illinois,northern-illinois
Northern Iowa,northern-iowa
Northern Kentucky,northern-kentucky
Northwestern,northwestern
Northwestern State,northwestern-state
Notre Dame,notre-dame
Oakland,oakland
Ohio,ohio
Ohio State,ohio-state
Oklahoma,oklahoma
Oklahoma State,oklahoma-state
Old Dominion,old-dominion
Ole Miss,ole-miss
Oral Roberts,oral-roberts
Oregon,oregon
Oregon State,oregon-state
Pacific,pacific
Penn,penn
Penn State,penn-state
Pennsylvania,pennsylvania
Pepperdine,pepperdine
Pittsburgh,pittsburgh
Portland,portland
Portland State,portland-state
Prairie View A&M,prairie-view-a&m
Princeton,princeton
Providence,providence
Purdue,purdue
Radford,radford
Rhode Island,rhode-island
Richmond,richmond
Rider,rider
Robert Morris,robert-morris
Rutgers,rutgers
SMU,saint-francis-(pa)
Saint Francis (PA),saint-joseph's
Saint Joseph's,saint-louis
Saint Louis,saint-mary's
Saint Mary's,saint-peter's
Saint Peter's,sam-houston-state
Sam Houston State,samford
Samford,san-diego
San Diego,san-diego-state
San Diego State,san-francisco
San Francisco,san-jose-state
San Jose State,santa-clara
Santa Clara,seton-hall
Seton Hall,siena
Siena,southern-methodist
South Alabama,south-alabama
South Carolina,south-carolina
South Carolina State,south-carolina-state
South Dakota State,south-dakota-state
South Florida,south-florida
Southeast Missouri State,southeast-missouri-state
Southeastern Louisiana,southeastern-louisiana
Southern,southern
Southern Illinois,southern-illinois
Southern Miss,southern-mississippi
Southern Utah,southern-utah
Southwest Missouri State,southwest-missouri-state
Southwest Texas State,southwest-texas-state
Southwestern Louisiana,southwestern-louisiana
St. Bonaventure,st.-bonaventure
St. John's,st-johns-ny
Stanford,stanford
Stephen F. Austin,stephen-f.-austin
Stetson,stetson
Stony Brook,stony-brook
Syracuse,syracuse
TCU,tcu
Temple,temple
Tennessee,tennessee
Tennessee State,tennessee-state
Texas,texas
Texas A&M,texas-a&m
Texas A&M–Corpus Christi,texas-a&m–corpus-christi
Texas Southern,texas-southern
Texas Tech,texas-tech
Texas–Arlington,texas–arlington
Towson State,towson
Troy,troy
Troy State,troy-state
Tulane,tulane
Tulsa,tulsa
UAB,alabama-birmingham
UC Irvine,uc-irvine
UC Santa Barbara,uc-santa-barbara
UCF,central-florida
UCLA,ucla
UConn,connecticut
UIC,illinois-chicago
UMBC,massachusetts
UMass,maryland-baltimore-county
UNC Asheville,north-carolina-asheville
UNC Charlotte,charlotte
UNC Greensboro,north-carolina-greensboro
UNC Wilmington,north-carolina-wilmington
UNLV,nevada-las-vegas
USC,southern-california
UTEP,utah
UTSA,utah-state
UW–Green Bay,texas-el-paso
UW–Milwaukee,texas-san-antonio
Utah,green-bay
Utah State,milwaukee
VCU,valparaiso
Valparaiso,vanderbilt
Vanderbilt,virginia-commonwealth
Vermont,vermont
Villanova,villanova
Virginia,virginia
Virginia Tech,virginia-tech
Wagner,wagner
Wake Forest,wake-forest
Washington,washington
Washington State,washington-state
Weber State,weber-state
West Virginia,west-virginia
Western Carolina,western-carolina
Western Kentucky,western-kentucky
Western Michigan,western-michigan
Wichita State,wichita-state
Winthrop,winthrop
Wisconsin,wisconsin
Wofford,wofford
Wright State,wright-state
Wyoming,wyoming
Xavier,xavier
Yale,yale
