seed,team,conference,wins,losses,year
1,North Carolina,ACC,25,5,1991
2,Syracuse,Big East,26,5,1991
3,Oklahoma State,Big Eight,22,7,1991
4,UCLA,Pac-10,23,8,1991
5,Mississippi State,SEC,20,8,1991
6,NC State,ACC,19,10,1991
7,Purdue,Big Ten,17,11,1991
8,Princeton,Ivy League,24,2,1991
9,Villanova,Big East,16,14,1991
10,Temple,Atlantic 10,21,9,1991
11,Southern Miss,Metro,21,7,1991
12,Eastern Michigan,MAC,24,6,1991
13,Penn State,Atlantic 10,20,10,1991
14,New Mexico,WAC,20,9,1991
15,Richmond,CAA,21,9,1991
16,Northeastern,NAC,22,10,1991
1,Ohio State,Big Ten,25,3,1991
2,Duke,ACC,26,7,1991
3,Nebraska,Big Eight,26,7,1991
4,St. John's,Big East,20,8,1991
5,Texas,SWC,22,8,1991
6,LSU,SEC,20,9,1991
7,Iowa,Big Ten,20,10,1991
8,Georgia Tech,ACC,16,12,1991
9,DePaul,Independent,20,8,1991
10,East Tennessee State,Southern,28,4,1991
11,Connecticut,Big East,18,10,1991
12,Saint Peter's,MAAC,24,6,1991
13,Northern Illinois,Mid-Continent,25,5,1991
14,Xavier,MCC,21,9,1991
15,Northeast Louisiana,Southland,25,7,1991
16,Towson State,East Coast,19,10,1991
1,Arkansas,SWC,31,3,1991
2,Indiana,Big Ten,27,4,1991
3,Kansas,Big Eight,22,7,1991
4,Alabama,SEC,21,9,1991
5,Wake Forest,ACC,18,10,1991
6,Pittsburgh,Big East,20,11,1991
7,Florida State,Metro,20,10,1991
8,Arizona State,Pac-10,19,9,1991
9,Rutgers,Atlantic 10,19,9,1991
10,USC,Pac-10,19,9,1991
11,Georgia,SEC,17,12,1991
12,Louisiana Tech,American South,21,9,1991
13,Murray State,Ohio Valley,24,8,1991
14,New Orleans,American South,23,7,1991
15,Coastal Carolina,Big South,24,7,1991
16,Georgia State,TAAC,16,14,1991
1,UNLV,Big West,30,0,1991
2,Arizona,Pac-10,26,6,1991
3,Seton Hall,Big East,22,8,1991
4,Utah,WAC,28,3,1991
5,Michigan State,Big Ten,18,10,1991
6,New Mexico State,Big West,23,5,1991
7,Virginia,ACC,21,11,1991
8,Georgetown,Big East,18,12,1991
9,Vanderbilt,SEC,17,12,1991
10,BYU,WAC,20,12,1991
11,Creighton,Missouri Valley,23,7,1991
12,Green Bay,Mid-Continent,24,6,1991
13,South Alabama,Sun Belt,22,8,1991
14,Pepperdine,West Coast,22,8,1991
15,Saint Francis (PA),NEC,24,7,1991
16,Montana,Big Sky,23,7,1991
1,Duke,ACC,28,2,1992
2,Kentucky,SEC,26,6,1992
3,UMass,Atlantic 10,28,4,1992
4,Seton Hall,Big East,21,8,1992
5,Missouri,Big Eight,20,8,1992
6,Syracuse,Big East,21,9,1992
7,UNC Charlotte,Metro,23,8,1992
8,Texas,SWC,23,11,1992
9,Iowa,Big Ten,18,10,1992
10,Iowa State,Big Eight,20,12,1992
11,Princeton,Ivy League,22,5,1992
12,West Virginia,Atlantic 10,20,11,1992
13,La Salle,MAAC,20,10,1992
14,Fordham,Patriot,18,12,1992
15,Old Dominion,CAA,15,14,1992
16,Campbell,Big South,19,11,1992
1,Kansas,Big Eight,26,4,1992
2,USC,Pac-10,23,5,1992
3,Arkansas,SEC,25,7,1992
4,Cincinnati,Great Midwest,25,4,1992
5,Michigan State,Big Ten,21,7,1992
6,Memphis State,Great Midwest,20,10,1992
7,Georgia Tech,ACC,21,11,1992
8,Evansville,MCC,24,5,1992
9,UTEP,WAC,25,6,1992
10,Houston,SWC,25,5,1992
11,Pepperdine,West Coast,24,6,1992
12,Southwest Missouri State,Missouri Valley,23,7,1992
13,Delaware,NAC,27,3,1992
14,Murray State,Ohio Valley,17,12,1992
15,Northeast Louisiana,Southland,19,9,1992
16,Howard,MEAC,17,13,1992
1,UCLA,Pac-10,25,4,1992
2,Indiana,Big Ten,23,6,1992
3,Florida State,ACC,20,9,1992
4,Oklahoma,Big Eight,21,8,1992
5,DePaul,Great Midwest,20,8,1992
6,Georgetown,Big East,21,9,1992
7,LSU,SEC,20,9,1992
8,Louisville,Metro,18,10,1992
9,Wake Forest,ACC,17,11,1992
10,BYU,WAC,25,6,1992
11,South Florida,Metro,19,9,1992
12,New Mexico State,Big West,23,7,1992
13,Southwestern Louisiana,Sun Belt,20,10,1992
14,Montana,Big Sky,27,3,1992
15,Eastern Illinois,Mid-Continent,17,13,1992
16,Robert Morris,NEC,19,11,1992
1,Ohio State,Big Ten,23,5,1992
2,Oklahoma State,Big Eight,26,7,1992
3,Arizona,Pac-10,24,6,1992
4,North Carolina,ACC,21,9,1992
5,Alabama,SEC,25,8,1992
6,Michigan,Big Ten,20,8,1992
7,St. John's,Big East,19,10,1992
8,Nebraska,Big Eight,19,9,1992
9,Connecticut,Big East,19,9,1992
10,Tulane,Metro,21,8,1992
11,Temple,Atlantic 10,17,12,1992
12,Stanford,Pac-10,18,10,1992
13,Miami (OH),MAC,23,7,1992
14,East Tennessee State,Southern,23,6,1992
15,Georgia Southern,TAAC,25,5,1992
16,Mississippi Valley State,SWAC,16,13,1992
1,North Carolina,ACC,28,4,1993
2,Cincinnati,Great Midwest,24,4,1993
3,UMass,Atlantic 10,23,6,1993
4,Arkansas,SEC,20,8,1993
5,St. John's,Big East,18,10,1993
6,Virginia,ACC,19,9,1993
7,New Mexico State,Big West,25,7,1993
8,Rhode Island,Atlantic 10,18,10,1993
9,Purdue,Big Ten,18,9,1993
10,Nebraska,Big Eight,20,10,1993
11,Manhattan,MAAC,23,6,1993
12,Texas Tech,Southwest,18,11,1993
13,Holy Cross,Patriot,23,6,1993
14,Penn,Ivy League,22,4,1993
15,Coppin State,MEAC,22,7,1993
16,East Carolina,CAA,13,16,1993
1,Kentucky,SEC,26,3,1993
2,Seton Hall,Big East,27,6,1993
3,Florida State,ACC,22,9,1993
4,Iowa,Big Ten,22,8,1993
5,Wake Forest,ACC,19,8,1993
6,Kansas State,Big Eight,19,10,1993
7,Western Kentucky,Sun Belt,24,5,1993
8,Utah,WAC,23,6,1993
9,Pittsburgh,Big East,17,10,1993
10,Memphis State,Great Midwest,20,11,1993
11,Tulane,Metro,21,8,1993
12,Chattanooga,Southern,26,6,1993
13,Northeast Louisiana,Southland,26,4,1993
14,Evansville,MCC,23,6,1993
15,Tennessee State,Ohio Valley,19,9,1993
16,Rider,Northeast,19,10,1993
1,Indiana,Big Ten,28,3,1993
2,Kansas,Big Eight,25,6,1993
3,Duke,ACC,23,7,1993
4,Louisville,Metro,20,8,1993
5,Oklahoma State,Big Eight,19,8,1993
6,California,Pac-10,19,8,1993
7,BYU,WAC,24,8,1993
8,New Orleans,Sun Belt,26,3,1993
9,Xavier,MCC,23,5,1993
10,SMU,Southwest,20,7,1993
11,LSU,SEC,22,10,1993
12,Marquette,Great Midwest,20,7,1993
13,Delaware,NAC,22,7,1993
14,Southern Illinois,Missouri Valley,23,9,1993
15,Ball State,MAC,26,7,1993
16,Wright State,Mid-Continent,20,9,1993
1,Michigan,Big Ten,26,4,1993
2,Arizona,Pac-10,24,3,1993
3,Vanderbilt,SEC,26,5,1993
4,Georgia Tech,ACC,19,10,1993
5,New Mexico,WAC,24,6,1993
6,Illinois,Big Ten,18,12,1993
7,Temple,Atlantic 10,17,12,1993
8,Iowa State,Big Eight,20,10,1993
9,UCLA,Pac-10,21,10,1993
10,Missouri,Big Eight,19,13,1993
11,Long Beach State,Big West,22,9,1993
12,George Washington,Atlantic 10,21,9,1993
13,Southern,SWAC,20,9,1993
14,Boise State,Big Sky,21,7,1993
15,Santa Clara,West Coast,18,11,1993
16,Coastal Carolina,Big South,22,9,1993
1,North Carolina,ACC,27,6,1994
2,Connecticut,Big East,27,4,1994
3,Florida,SEC,25,7,1994
4,Temple,Atlantic 10,22,7,1994
5,Indiana,Big Ten,19,8,1994
6,Nebraska,Big Eight,20,9,1994
7,UAB,Great Midwest,22,7,1994
8,Washington State,Pac-10,20,10,1994
9,Boston College,Big East,20,10,1994
10,George Washington,Atlantic 10,17,11,1994
11,Penn,Ivy League,24,2,1994
12,Ohio,MAC,25,7,1994
13,Drexel,NAC,25,4,1994
14,James Madison,CAA,20,9,1994
15,Rider,NEC,21,8,1994
16,Liberty,Big South,18,11,1994
1,Arkansas,SEC,25,3,1994
2,UMass,Atlantic 10,27,6,1994
3,Michigan,Big Ten,21,7,1994
4,Oklahoma State,Big Eight,23,9,1994
5,UCLA,Pac-10,21,6,1994
6,Texas,SWC,25,7,1994
7,Saint Louis,Great Midwest,23,5,1994
8,Illinois,Big Ten,17,10,1994
9,Georgetown,Big East,18,11,1994
10,Maryland,ACC,16,11,1994
11,Western Kentucky,Sun Belt,20,10,1994
12,Tulsa,Missouri Valley,21,7,1994
13,New Mexico State,Big West,23,7,1994
14,Pepperdine,WCC,19,10,1994
15,Southwest Texas State,Southland,25,6,1994
16,North Carolina A&T,MEAC,16,13,1994
1,Purdue,Big Ten,26,4,1994
2,Duke,ACC,23,5,1994
3,Kentucky,SEC,26,6,1994
4,Kansas,Big Eight,25,7,1994
5,Wake Forest,ACC,20,11,1994
6,Marquette,Great Midwest,22,8,1994
7,Michigan State,Big Ten,19,11,1994
8,Providence,Big East,20,9,1994
9,Alabama,SEC,19,9,1994
10,Seton Hall,Big East,17,12,1994
11,Southwestern Louisiana,Sun Belt,22,7,1994
12,College of Charleston,TAAC,24,3,1994
13,Chattanooga,Southern,23,6,1994
14,Tennessee State,Ohio Valley,19,11,1994
15,Texas Southern,SWAC,19,10,1994
16,UCF,TAAC,21,8,1994
1,Missouri,Big Eight,25,3,1994
2,Arizona,Pac-10,25,5,1994
3,Louisville,Metro,26,5,1994
4,Syracuse,Big East,21,6,1994
5,California,Pac-10,22,7,1994
6,Minnesota,Big Ten,20,11,1994
7,Virginia,ACC,17,12,1994
8,Cincinnati,Great Midwest,22,9,1994
9,Wisconsin,Big Ten,17,10,1994
10,New Mexico,WAC,23,7,1994
11,Southern Illinois,Missouri Valley,23,6,1994
12,UW–Green Bay,Mid-Continent,22,6,1994
13,Hawaii,WAC,18,14,1994
14,Boise State,Big Sky,17,12,1994
15,Loyola (MD),MAAC,17,12,1994
16,Navy,Patriot,17,12,1994
1,Wake Forest,ACC,24,5,1995
2,UMass,Atlantic 10,26,4,1995
3,Villanova,Big East,25,7,1995
4,Oklahoma State,Big Eight,23,9,1995
5,Alabama,SEC,22,9,1995
6,Tulsa,Missouri Valley,22,7,1995
7,UNC Charlotte,Metro,19,8,1995
8,Minnesota,Big Ten,19,11,1995
9,Saint Louis,Great Midwest,22,7,1995
10,Stanford,Pac-10,19,8,1995
11,Illinois,Big Ten,19,11,1995
12,Penn,Ivy League,22,5,1995
13,Drexel,NAC,22,7,1995
14,Old Dominion,CAA,20,11,1995
15,Saint Peter's,MAAC,19,10,1995
16,North Carolina A&T,MEAC,15,14,1995
1,Kentucky,SEC,25,4,1995
2,North Carolina,ACC,24,5,1995
3,Michigan State,Big Ten,22,5,1995
4,Oklahoma,Big Eight,23,8,1995
5,Arizona State,Pac-10,22,8,1995
6,Georgetown,Big East,19,9,1995
7,Iowa State,Big Eight,22,10,1995
8,BYU,WAC,22,9,1995
9,Tulane,Metro,22,9,1995
10,Florida,SEC,17,12,1995
11,Xavier,MCC,23,4,1995
12,Ball State,MAC,19,10,1995
13,Manhattan,MAAC,25,4,1995
14,Weber State,Big Sky,20,8,1995
15,Murray State,Ohio Valley,21,8,1995
16,Mount St. Mary's,NEC,17,12,1995
1,UCLA,Pac-10,25,2,1995
2,Connecticut,Big East,25,4,1995
3,Maryland,ACC,24,7,1995
4,Utah,WAC,27,5,1995
5,Mississippi State,SEC,20,7,1995
6,Oregon,Pac-10,19,8,1995
7,Cincinnati,Great Midwest,21,11,1995
8,Missouri,Big Eight,19,8,1995
9,Indiana,Big Ten,19,11,1995
10,Temple,Atlantic 10,19,10,1995
11,Texas,SWC,22,6,1995
12,Santa Clara,West Coast,21,6,1995
13,Long Beach State,Big West,20,9,1995
14,Gonzaga,West Coast,21,8,1995
15,Chattanooga,Southern,19,10,1995
16,FIU,TAAC,11,18,1995
1,Kansas,Big Eight,23,5,1995
2,Arkansas,SEC,27,6,1995
3,Purdue,Big Ten,24,6,1995
4,Virginia,ACC,22,8,1995
5,Arizona,Pac-10,23,7,1995
6,Memphis,Great Midwest,22,9,1995
7,Syracuse,Big East,19,9,1995
8,Western Kentucky,Sun Belt,26,3,1995
9,Michigan,Big Ten,17,13,1995
10,Southern Illinois,Missouri Valley,23,8,1995
11,Louisville,Metro,19,13,1995
12,Miami (OH),MAC,22,6,1995
13,Nicholls State,Southland,24,5,1995
14,Green Bay,MCC,22,7,1995
15,Texas Southern,SWAC,22,6,1995
16,Colgate,Patriot,17,12,1995
1,UMass,Atlantic 10,31,1,1996
2,Georgetown,Big East,26,7,1996
3,Texas Tech,SWC,28,1,1996
4,Marquette,Conference USA,22,7,1996
5,Penn State,Big Ten,21,6,1996
6,North Carolina,ACC,20,10,1996
7,New Mexico,WAC,28,5,1996
8,Bradley,Missouri Valley,22,7,1996
9,Stanford,Pac-10,19,8,1996
10,Kansas State,Big Eight,17,11,1996
11,New Orleans,Sun Belt,21,8,1996
12,Arkansas,SEC,18,12,1996
13,Monmouth,NEC,20,9,1996
14,Northern Illinois,MCC,20,9,1996
15,Mississippi Valley State,SWAC,22,6,1996
16,UCF,TAAC,11,18,1996
1,Connecticut,Big East,30,2,1996
2,Cincinnati,Conference USA,25,4,1996
3,Georgia Tech,ACC,22,11,1996
4,UCLA,Pac-10,23,7,1996
5,Mississippi State,SEC,22,7,1996
6,Indiana,Big Ten,19,11,1996
7,Temple,Atlantic 10,19,12,1996
8,Duke,ACC,18,12,1996
9,Eastern Michigan,MAC,24,5,1996
10,Oklahoma,Big Eight,17,12,1996
11,Boston College,Big East,18,10,1996
12,VCU,CAA,17,10,1996
13,Princeton,Ivy League,21,6,1996
14,Austin Peay,Ohio Valley,19,10,1996
15,UNC Greensboro,Big South,20,9,1996
16,Colgate,Patriot League,15,14,1996
1,Kentucky,SEC,28,2,1996
2,Wake Forest,ACC,26,6,1996
3,Villanova,Big East,25,6,1996
4,Utah,WAC,25,6,1996
5,Iowa State,Big Eight,23,8,1996
6,Louisville,Conference USA,20,11,1996
7,Michigan,Big Ten,20,11,1996
8,Green Bay,MCC,25,3,1996
9,Virginia Tech,Atlantic 10,22,5,1996
10,Texas,SWC,20,9,1996
11,Tulsa,Missouri Valley,22,7,1996
12,California,Pac-10,17,10,1996
13,Canisius,MAAC,19,10,1996
14,Portland,West Coast,19,10,1996
15,Northeast Louisiana,Southland,16,13,1996
16,San Jose State,Big West,13,16,1996
1,Purdue,Big Ten,26,4,1996
2,Kansas,Big Eight,25,5,1996
3,Arizona,Pac-10,24,6,1996
4,Syracuse,Big East,24,8,1996
5,Memphis,Conference USA,22,7,1996
6,Iowa,Big Ten,22,8,1996
7,Maryland,ACC,17,12,1996
8,Georgia,SEC,19,9,1996
9,Clemson,ACC,18,10,1996
10,Santa Clara,West Coast,19,8,1996
11,George Washington,Atlantic 10,21,7,1996
12,Drexel,NAC,26,3,1996
13,Montana State,Big Sky,21,8,1996
14,Valparaiso,Mid-Continent,23,7,1996
15,South Carolina State,MEAC,22,7,1996
16,Western Carolina,Southern,17,12,1996
1,North Carolina,ACC,24,6,1997
2,South Carolina,SEC,24,7,1997
3,New Mexico,WAC,24,7,1997
4,Villanova,Big East,23,9,1997
5,California,Pac-10,21,8,1997
6,Louisville,Conference USA,23,8,1997
7,Wisconsin,Big Ten,18,9,1997
8,Indiana,Big Ten,22,10,1997
9,Colorado,Big 12,21,9,1997
10,Texas,Big 12,16,11,1997
11,UMass,Atlantic 10,19,13,1997
12,Princeton,Ivy League,24,3,1997
13,Long Island,NEC,21,8,1997
14,Old Dominion,CAA,22,10,1997
15,Coppin State,MEAC,21,8,1997
16,Fairfield,MAAC,11,18,1997
1,Minnesota,Big Ten,27,3,1997
2,UCLA,Pac-10,21,7,1997
3,Cincinnati,Conference USA,25,7,1997
4,Clemson,ACC,21,9,1997
5,Tulsa,WAC,23,9,1997
6,Iowa State,Big 12,20,8,1997
7,Xavier,Atlantic 10,22,5,1997
8,Ole Miss,SEC,20,8,1997
9,Temple,Atlantic 10,19,10,1997
10,Vanderbilt,SEC,19,11,1997
11,Illinois State,Missouri Valley,24,5,1997
12,Boston University,America East,25,4,1997
13,Miami (OH),MAC,21,8,1997
14,Butler,MCC,23,9,1997
15,Charleston Southern,Big South,17,12,1997
16,Southwest Texas State,Southland,16,12,1997
1,Kansas,Big 12,32,1,1997
2,Duke,ACC,23,8,1997
3,Georgia,SEC,24,8,1997
4,Arizona,Pac-10,19,9,1997
5,Maryland,ACC,21,10,1997
6,Illinois,Big Ten,21,9,1997
7,Marquette,Conference USA,22,8,1997
8,Purdue,Big Ten,17,11,1997
9,Rhode Island,Atlantic 10,20,9,1997
10,Providence,Big East,21,11,1997
11,USC,Pac-10,17,10,1997
12,College of Charleston,TAAC,28,2,1997
13,South Alabama,Sun Belt,23,6,1997
14,Chattanooga,Southern,22,10,1997
15,Murray State,Ohio Valley,20,9,1997
16,Jackson State,SWAC,14,15,1997
1,Kentucky,SEC,30,4,1997
2,Utah,WAC,26,3,1997
3,Wake Forest,ACC,23,6,1997
4,Saint Joseph's,Atlantic 10,24,6,1997
5,Boston College,Big East,21,8,1997
6,Stanford,Pac-10,20,7,1997
7,UNC Charlotte,Conference USA,21,8,1997
8,Iowa,Big Ten,21,9,1997
9,Virginia,ACC,19,10,1997
10,Georgetown,Big East,20,9,1997
11,Oklahoma,Big 12,19,7,1997
12,Valparaiso,Mid-Continent,24,6,1997
13,Pacific,Big West,23,5,1997
14,Saint Mary's,West Coast,23,7,1997
15,Navy,Patriot,20,8,1997
16,Montana,Big Sky,21,10,1997
1,North Carolina,ACC,30,3,1998
2,Connecticut,Big East,29,4,1998
3,South Carolina,SEC,22,6,1998
4,Michigan State,Big Ten,20,7,1998
5,Princeton,Ivy League,26,1,1998
6,Xavier,Atlantic 10,22,7,1998
7,Indiana,Big Ten,19,11,1998
8,UNC Charlotte,Conference USA,19,10,1998
9,UIC,MCC,22,5,1998
10,Oklahoma,Big 12,22,10,1998
11,Washington,Pac-10,18,9,1998
12,UNLV,WAC,20,12,1998
13,Eastern Michigan,MAC,20,9,1998
14,Richmond,CAA,22,7,1998
15,Fairleigh Dickinson,NEC,23,6,1998
16,Navy,Patriot,19,10,1998
1,Duke,ACC,29,3,1998
2,Kentucky,SEC,29,4,1998
3,Michigan,Big Ten,24,8,1998
4,New Mexico,WAC,23,7,1998
5,Syracuse,Big East,24,8,1998
6,UCLA,Pac-10,22,8,1998
7,UMass,Atlantic 10,21,10,1998
8,Oklahoma State,Big 12,21,7,1998
9,George Washington,Atlantic 10,24,8,1998
10,Saint Louis,Conference USA,21,10,1998
11,Miami (FL),Big East,18,9,1998
12,Iona,MAAC,27,5,1998
13,Butler,MCC,22,10,1998
14,Davidson,Southern,20,9,1998
15,South Carolina State,MEAC,22,7,1998
16,Radford,Big South,20,9,1998
1,Arizona,Pac-10,27,4,1998
2,Cincinnati,Conference USA,26,5,1998
3,Utah,WAC,25,3,1998
4,Maryland,ACC,19,10,1998
5,Illinois,Big Ten,22,9,1998
6,Arkansas,SEC,23,8,1998
7,Temple,Atlantic 10,21,8,1998
8,Tennessee,SEC,20,8,1998
9,Illinois State,Missouri Valley,24,5,1998
10,West Virginia,Big East,22,8,1998
11,Nebraska,Big 12,20,11,1998
12,South Alabama,Sun Belt,21,6,1998
13,Utah State,Big West,25,7,1998
14,San Francisco,West Coast,19,10,1998
15,Northern Arizona,Big Sky,21,7,1998
16,Nicholls State,Southland,19,9,1998
1,Kansas,Big 12,34,3,1998
2,Purdue,Big Ten,26,7,1998
3,Stanford,Pac-10,26,4,1998
4,Ole Miss,SEC,22,6,1998
5,TCU,WAC,27,5,1998
6,Clemson,ACC,18,13,1998
7,St. John's,Big East,22,9,1998
8,Rhode Island,Atlantic 10,22,8,1998
9,Murray State,Ohio Valley,29,3,1998
10,Detroit,MCC,24,5,1998
11,Western Michigan,Mid-American,20,7,1998
12,Florida State,ACC,17,13,1998
13,Valparaiso,Mid-Continent,21,9,1998
14,College of Charleston,TAAC,24,5,1998
15,Delaware,America East,20,9,1998
16,Prairie View A&M,SWAC,13,16,1998
1,Duke,ACC,32,1,1999
2,Miami (FL),Big East,22,6,1999
3,Cincinnati,Conference USA,26,5,1999
4,Tennessee,SEC,20,8,1999
5,Wisconsin,Big Ten,22,9,1999
6,Temple,Atlantic 10,21,10,1999
7,Texas,Big 12,19,12,1999
8,College of Charleston,Southern,28,2,1999
9,Tulsa,WAC,22,9,1999
10,Purdue,Big Ten,19,12,1999
11,Kent State,Mid-American,23,6,1999
12,Southwest Missouri State,Missouri Valley,20,10,1999
13,Delaware,America East,25,5,1999
14,George Mason,CAA,19,10,1999
15,Lafayette,Patriot,22,7,1999
16,Florida A&M,MEAC,12,18,1999
1,Auburn,SEC,27,3,1999
2,Maryland,ACC,26,5,1999
3,St. John's,Big East,25,8,1999
4,Ohio State,Big Ten,23,8,1999
5,UCLA,Pac-10,22,8,1999
6,Indiana,Big Ten,22,10,1999
7,Louisville,Conference USA,19,10,1999
8,Syracuse,Big East,21,11,1999
9,Oklahoma State,Big 12,22,10,1999
10,Creighton,Missouri Valley,21,8,1999
11,George Washington,Atlantic 10,20,8,1999
12,Detroit,MCC,24,5,1999
13,Murray State,Ohio Valley,27,5,1999
14,Samford,TAAC,24,5,1999
15,Valparaiso,Mid-Continent,23,8,1999
16,Winthrop,Big South,17,13,1999
1,Michigan State,Big Ten,29,4,1999
2,Utah,WAC,27,4,1999
3,Kentucky,SEC,25,8,1999
4,Arizona,Pac-10,22,6,1999
5,UNC Charlotte,Conference USA,22,10,1999
6,Kansas,Big 12,22,9,1999
7,Washington,Pac-10,17,11,1999
8,Villanova,Big East,21,10,1999
9,Ole Miss,SEC,19,13,1999
10,Miami (OH),MAC,22,7,1999
11,Evansville,Missouri Valley,23,9,1999
12,Rhode Island,Atlantic 10,20,10,1999
13,Oklahoma,Big 12,20,10,1999
14,New Mexico State,Big West,23,9,1999
15,Arkansas State,Sun Belt,18,11,1999
16,Mount St. Mary's,NEC,15,14,1999
1,Connecticut,Big East,28,2,1999
2,Stanford,Pac-10,25,6,1999
3,North Carolina,ACC,24,9,1999
4,Arkansas,SEC,22,10,1999
5,Iowa,Big Ten,18,9,1999
6,Florida,SEC,20,8,1999
7,Minnesota,Big Ten,17,10,1999
8,Missouri,Big 12,20,8,1999
9,New Mexico,WAC,24,8,1999
10,Gonzaga,West Coast,25,6,1999
11,Penn,Ivy League,21,5,1999
12,UAB,Conference USA,20,11,1999
13,Siena,MAAC,25,5,1999
14,Weber State,Big Sky,24,7,1999
15,Alcorn State,SWAC,23,6,1999
16,UTSA,Southland,18,10,1999
1,Duke,ACC,28,4,2000
2,Temple,Atlantic 10,26,5,2000
3,Oklahoma State,Big 12,24,6,2000
4,Illinois,Big Ten,21,9,2000
5,Florida,SEC,24,7,2000
6,Indiana,Big Ten,20,8,2000
7,Oregon,Pac-10,22,7,2000
8,Kansas,Big 12,23,9,2000
9,DePaul,Conference USA,21,10,2000
10,Seton Hall,Big East,20,9,2000
11,Pepperdine,West Coast,24,8,2000
12,Butler,MCC,23,7,2000
13,Penn,Ivy League,21,7,2000
14,Hofstra,America East,24,6,2000
15,Lafayette,Patriot,24,6,2000
16,Lamar,Southland,15,15,2000
1,Michigan State,Big Ten,26,7,2000
2,Iowa State,Big 12,29,4,2000
3,Maryland,ACC,24,9,2000
4,Syracuse,Big East,24,5,2000
5,Kentucky,SEC,22,9,2000
6,UCLA,Pac-10,19,11,2000
7,Auburn,SEC,23,9,2000
8,Utah,Mountain West,22,8,2000
9,Saint Louis,Conference USA,19,13,2000
10,Creighton,Missouri Valley,23,9,2000
11,Ball State,MAC,22,8,2000
12,St. Bonaventure,Atlantic 10,21,9,2000
13,Samford,TAAC,21,10,2000
14,Iona,MAAC,20,10,2000
15,Central Connecticut State,Northeast,25,5,2000
16,Valparaiso,Mid-Continent,19,12,2000
1,Stanford,Pac-10,26,3,2000
2,Cincinnati,Conference USA,28,3,2000
3,Ohio State,Big Ten,22,6,2000
4,Tennessee,SEC,24,6,2000
5,Connecticut,Big East,24,9,2000
6,Miami (FL),Big East,21,10,2000
7,Tulsa,WAC,29,4,2000
8,North Carolina,ACC,18,13,2000
9,Missouri,Big 12,18,12,2000
10,UNLV,Mountain West,20,9,2000
11,Arkansas,SEC,19,14,2000
12,Utah State,Big West,28,5,2000
13,Louisiana-Lafayette,Sun Belt,25,8,2000
14,Appalachian State,Southern,23,8,2000
15,UNC Wilmington,CAA,18,12,2000
16,South Carolina State,MEAC,20,13,2000
1,Arizona,Pac-10,26,6,2000
2,St. John's,Big East,24,7,2000
3,Oklahoma,Big 12,26,6,2000
4,LSU,SEC,26,5,2000
5,Texas,Big 12,23,8,2000
6,Purdue,Big Ten,21,9,2000
7,Louisville,Conference USA,19,11,2000
8,Wisconsin,Big Ten,18,13,2000
9,Fresno State,WAC,24,9,2000
10,Gonzaga,West Coast,24,8,2000
11,Dayton,Atlantic 10,22,8,2000
12,Indiana State,Missouri Valley,22,9,2000
13,Southeast Missouri State,Ohio Valley,22,6,2000
14,Winthrop,Big South,21,8,2000
15,Northern Arizona,Big Sky,20,10,2000
16,Jackson State,SWAC,17,15,2000
1,Duke,ACC,29,4,2001
2,Kentucky,SEC,22,9,2001
3,Boston College,Big East,26,4,2001
4,UCLA,Pac-10,21,8,2001
5,Ohio State,Big Ten,20,10,2001
6,USC,Pac-10,21,9,2001
7,Iowa,Big Ten,22,11,2001
8,Georgia,SEC,16,14,2001
9,Missouri,Big 12,19,12,2001
10,Creighton,Missouri Valley,24,7,2001
11,Oklahoma State,Big 12,20,9,2001
12,Utah State,Big West,27,5,2001
13,Hofstra,America East,26,4,2001
14,Southern Utah,Mid-Continent,25,5,2001
15,Holy Cross,Patriot,22,7,2001
16,Monmouth,NEC,21,9,2001
1,Stanford,Pac-10,28,2,2001
2,Iowa State,Big 12,25,5,2001
3,Maryland,ACC,21,10,2001
4,Indiana,Big Ten,21,12,2001
5,Cincinnati,C-USA,23,9,2001
6,Wisconsin,Big Ten,18,10,2001
7,Arkansas,SEC,20,10,2001
8,Georgia Tech,ACC,17,12,2001
9,Saint Joseph's,Atlantic 10,25,6,2001
10,Georgetown,Big East,23,7,2001
11,Georgia State,TAAC,28,4,2001
12,BYU,Mountain West,24,8,2001
13,Kent State,MAC,23,9,2001
14,George Mason,Colonial,18,11,2001
15,Hampton,MEAC,24,6,2001
16,UNC Greensboro,Southern,19,11,2001
1,Michigan State,Big Ten,24,4,2001
2,North Carolina,ACC,25,6,2001
3,Florida,SEC,23,6,2001
4,Oklahoma,Big 12,26,6,2001
5,Virginia,ACC,20,8,2001
6,Texas,Big 12,25,8,2001
7,Penn State,Big Ten,19,11,2001
8,California,Pac-10,20,10,2001
9,Fresno State,WAC,25,6,2001
10,Providence,Big East,21,9,2001
11,Temple,Atlantic 10,21,12,2001
12,Gonzaga,WCC,24,6,2001
13,Indiana State,Missouri Valley,21,11,2001
14,Western Kentucky,Sun Belt,24,6,2001
15,Princeton,Ivy League,16,10,2001
16,Alabama State,SWAC,22,8,2001
1,Illinois,Big Ten,24,7,2001
2,Arizona,Pac-10,23,7,2001
3,Ole Miss,SEC,25,7,2001
4,Kansas,Big 12,24,6,2001
5,Syracuse,Big East,24,8,2001
6,Notre Dame,Big East,19,9,2001
7,Wake Forest,ACC,19,10,2001
8,Tennessee,SEC,19,11,2001
9,Charlotte,C-USA,21,10,2001
10,Butler,MCC,23,7,2001
