team,year,ps_per_game,pa_per_game,srs,sos,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,offensive_rating,defensive_rating
Villanova,1995,78.4,70.1,16.39,8.3,28.4,59.0,0.482,20.4,38.6,0.527,8.1,20.4,0.395,13.5,18.7,0.722,,,35.4,18.8,8.2,4.9,14.3,17.3,,
Oklahoma State,1995,77.3,64.3,21.72,10.26,27.5,54.7,0.502,21.1,38.5,0.549,6.3,16.2,0.389,16.0,23.6,0.68,,,36.6,17.7,8.1,3.2,15.3,18.5,,
Alabama,1995,73.0,64.1,15.5,6.62,27.0,59.7,0.453,20.8,41.0,0.506,6.3,18.7,0.335,12.6,19.6,0.644,,,42.0,15.2,6.1,6.1,15.8,17.7,,
Tulsa,1995,74.8,67.4,12.37,4.66,24.6,59.1,0.415,17.7,38.8,0.455,6.9,20.3,0.341,18.8,26.2,0.718,,,41.5,14.7,7.3,3.5,14.1,19.1,,
UNC Charlotte,1995,74.5,68.8,9.28,3.56,26.3,59.7,0.44,20.9,44.3,0.471,5.4,15.4,0.35,16.6,22.4,0.744,,,40.5,15.3,6.4,5.4,14.9,20.5,,
Minnesota,1995,76.1,68.5,13.96,6.31,27.1,62.8,0.432,20.6,43.4,0.475,6.5,19.4,0.336,15.4,22.3,0.689,,,40.9,16.6,7.8,2.7,15.5,22.2,,
Saint Louis,1995,75.8,62.6,17.3,4.08,25.3,57.4,0.44,16.1,33.9,0.476,9.2,23.5,0.389,16.1,23.2,0.692,,,35.3,15.2,8.0,1.1,11.4,17.4,,
Stanford,1995,79.0,73.1,13.11,7.24,26.7,59.8,0.446,21.8,47.3,0.461,4.9,12.4,0.391,20.8,28.5,0.729,,,38.4,13.6,6.9,2.8,13.0,19.8,,
Illinois,1995,73.1,68.5,11.97,7.71,26.5,59.4,0.447,21.2,44.6,0.474,5.4,14.8,0.365,14.6,22.4,0.651,,,37.8,12.8,5.6,1.7,13.7,19.0,,
Drexel,1995,75.4,66.0,5.68,-3.69,25.7,57.9,0.444,19.1,39.6,0.483,6.6,18.3,0.361,17.3,24.8,0.699,,,39.9,15.5,5.6,2.8,14.9,20.1,,
Old Dominion,1995,77.2,74.3,4.16,1.28,26.2,58.9,0.445,19.4,40.0,0.485,6.8,18.9,0.361,17.9,25.0,0.717,,,35.5,16.3,9.4,4.2,14.9,18.1,,
Saint Peter's,1995,68.3,67.1,-1.96,-3.12,25.3,55.6,0.454,21.9,45.3,0.485,3.3,10.4,0.322,14.4,20.8,0.693,,,35.2,14.5,6.7,2.6,15.5,17.3,,
Kentucky,1995,87.4,69.0,28.07,9.71,30.8,67.0,0.46,22.4,44.7,0.502,8.4,22.3,0.375,17.5,24.3,0.719,,,40.5,19.6,10.5,5.3,14.8,22.2,,
North Carolina,1995,84.4,74.0,23.58,13.13,30.7,60.4,0.508,22.9,41.4,0.553,7.8,19.1,0.41,15.2,22.4,0.678,,,37.9,16.9,6.2,5.2,12.9,14.0,,
Michigan State,1995,78.4,68.8,17.49,7.92,29.6,59.4,0.498,24.0,45.6,0.525,5.6,13.8,0.408,13.5,20.1,0.673,,,38.4,16.5,6.4,1.6,14.0,17.7,,
Oklahoma,1995,81.7,73.6,15.22,7.1,28.6,60.8,0.471,21.8,41.8,0.522,6.8,18.9,0.36,17.6,23.6,0.747,,,38.7,17.7,6.8,4.0,14.5,20.3,,
Arizona State,1995,78.3,70.6,16.7,9.0,28.9,61.6,0.469,22.5,42.5,0.528,6.4,19.1,0.337,14.1,22.7,0.62,,,35.2,18.4,10.5,5.0,16.4,18.7,,
Georgetown,1995,75.5,69.3,12.76,6.53,26.7,61.3,0.436,22.1,45.3,0.489,4.6,16.0,0.287,17.5,26.9,0.65,,,39.9,12.1,10.5,5.4,17.9,19.6,,
Iowa State,1995,76.7,67.6,16.57,9.7,26.8,55.9,0.479,21.6,42.6,0.509,5.1,13.3,0.386,17.9,23.7,0.757,,,35.4,18.0,6.4,3.2,13.8,17.6,,
BYU,1995,75.2,69.2,11.52,5.55,25.3,54.5,0.464,20.0,39.3,0.508,5.3,15.2,0.35,19.3,24.9,0.773,,,35.1,15.6,7.0,3.1,14.0,18.8,,
Tulane,1995,77.2,71.5,9.84,4.23,28.2,59.7,0.473,23.5,45.2,0.519,4.8,14.5,0.33,15.9,25.6,0.621,,,38.2,15.5,9.6,3.3,17.0,17.2,,
Florida,1995,72.6,68.6,15.4,11.37,25.4,56.1,0.452,20.9,43.7,0.479,4.4,12.3,0.359,17.4,24.4,0.715,,,38.9,13.8,6.9,3.2,15.7,18.9,,
Xavier,1995,83.9,71.9,10.17,-0.83,28.4,61.4,0.463,22.6,44.4,0.51,5.8,17.0,0.34,21.2,29.5,0.72,,,39.6,16.5,8.5,2.1,16.3,19.1,,
Ball State,1995,77.8,72.8,5.36,2.61,28.0,58.8,0.477,22.2,42.5,0.522,5.8,16.3,0.359,15.9,24.3,0.655,,,35.3,16.5,8.9,2.8,15.7,20.3,,
Manhattan,1995,75.3,62.2,9.12,-3.91,27.1,56.0,0.484,22.2,42.7,0.519,4.9,13.3,0.369,16.2,24.4,0.663,,,38.4,15.7,8.5,3.9,14.1,19.1,,
Weber State,1995,77.3,70.5,8.35,3.42,27.7,60.0,0.461,22.1,43.8,0.504,5.6,16.3,0.344,16.4,22.6,0.724,,,38.9,14.2,7.2,2.9,13.0,18.0,,
Murray State,1995,86.9,77.2,-2.35,-9.02,30.8,65.3,0.472,24.0,46.5,0.516,6.8,18.8,0.363,18.4,24.0,0.769,,,36.8,13.6,11.7,4.3,15.0,22.4,,
Mount St. Mary's,1995,77.4,77.1,-6.87,-6.66,28.0,62.9,0.445,22.3,45.4,0.491,5.7,17.5,0.327,15.7,22.6,0.695,,,37.7,14.7,8.2,3.3,15.0,20.3,,
UCLA,1995,87.5,73.9,23.7,10.03,32.7,63.7,0.513,29.1,53.2,0.547,3.6,10.5,0.341,18.6,26.2,0.709,,,40.4,19.8,9.5,4.2,15.4,19.6,,
Connecticut,1995,86.0,74.4,19.23,7.65,31.1,65.9,0.472,24.2,48.1,0.504,6.9,17.8,0.386,16.8,22.6,0.745,,,41.5,19.2,8.6,3.5,15.6,17.6,,
Maryland,1995,86.6,73.9,22.69,10.44,30.4,61.2,0.498,25.2,46.2,0.545,5.3,14.9,0.352,20.5,29.0,0.706,,,40.2,18.9,8.9,4.9,15.5,18.6,,
Utah,1995,77.6,64.9,16.29,4.85,26.5,54.9,0.483,20.1,37.4,0.538,6.4,17.6,0.366,18.1,24.3,0.743,,,39.7,15.8,5.1,3.0,14.3,19.4,,
Mississippi State,1995,73.4,64.6,17.28,8.48,25.5,57.4,0.445,17.5,35.9,0.488,8.0,21.4,0.373,14.3,20.6,0.694,,,39.5,15.6,6.7,4.7,16.4,18.1,,
Oregon,1995,85.2,80.4,14.64,10.64,28.4,64.3,0.442,20.3,42.4,0.479,8.1,22.0,0.371,20.2,30.0,0.672,,,39.8,16.0,7.6,2.2,16.2,21.8,,
