unique_ncaa_team,lower_ncaa_team
North Carolina,north-carolina
North Carolina A&T,north-carolina-at
North Carolina Central,north-carolina-central
North Carolina State,north-carolina-state
North Dakota,north-dakota
North Dakota State,north-dakota-state
North Florida,north-florida
North Texas,north-texas
Northeast Louisiana,louisiana-monroe
Northeastern,northeastern
Northern Arizona,northern-arizona
Northern Colorado,northern-colorado
Northern Illinois,northern-illinois
Northern Iowa,northern-iowa
Northern Kentucky,northern-kentucky
Northwestern,northwestern
Northwestern State,northwestern-state
Notre Dame,notre-dame
Oakland,oakland
Ohio,ohio
Ohio State,ohio-state
Oklahoma,oklahoma
Oklahoma State,oklahoma-state
Old Dominion,old-dominion
Ole Miss,mississippi
Oral Roberts,oral-roberts
Oregon,oregon
Oregon State,oregon-state
Pacific,pacific
Penn,pennsylvania
Penn State,penn-state
Pennsylvania,pennsylvania
Pepperdine,pepperdine
Pittsburgh,pittsburgh
Portland,portland
Portland State,portland-state
Prairie View A&M,prairie-view
Princeton,princeton
Providence,providence
Purdue,purdue
Radford,radford
Rhode Island,rhode-island
Richmond,richmond
Rider,rider
Robert Morris,robert-morris
Rutgers,rutgers
SMU,southern-methodist
Saint Francis (PA),saint-francis-pa
Saint Joseph's,saint-josephs
Saint Louis,saint-louis
Saint Mary's,saint-marys-ca
Saint Peter's,saint-peters
Sam Houston State,sam-houston-state
Samford,samford
San Diego,san-diego
San Diego State,san-diego-state
San Francisco,san-francisco
San Jose State,san-jose-state
Santa Clara,santa-clara
Seton Hall,seton-hall
Siena,siena
South Alabama,south-alabama
South Carolina,south-carolina
South Carolina State,south-carolina-state
South Dakota State,south-dakota-state
South Florida,south-florida
Southeast Missouri State,southeast-missouri-state
Southeastern Louisiana,southeastern-louisiana
Southern,southern
Southern Illinois,southern-illinois
Southern Miss,southern-mississippi
Southern Utah,southern-utah
Southwest Missouri State,missouri-state
Southwest Texas State,texas-state
Southwestern Louisiana,louisiana-lafayette
St. Bonaventure,st-bonaventure
St. John's,st-johns-ny
Stanford,stanford
Stephen F. Austin,stephen-f-austin
Stetson,stetson
Stony Brook,stony-brook
Syracuse,syracuse
TCU,texas-christian
Temple,temple
Tennessee,tennessee
Tennessee State,tennessee-state
Texas,texas
Texas A&M,texas-am
Texas A&M–Corpus Christi,texas-am-corpus-christi
Texas Southern,texas-southern
Texas Tech,texas-tech
Texas–Arlington,texas-arlington
Towson State,towson
Troy,troy
Troy State,troy
Tulane,tulane
Tulsa,tulsa
UAB,alabama-birmingham
UC Irvine,california-irvine
UC Santa Barbara,california-santa-barbara
UCF,central-florida
UCLA,ucla
UConn,connecticut
UIC,illinois-chicago
UMBC,maryland-baltimore-county
UMass,massachusetts
UNC Asheville,north-carolina-asheville
UNC Charlotte,charlotte
UNC Greensboro,north-carolina-greensboro
UNC Wilmington,north-carolina-wilmington
UNLV,nevada-las-vegas
USC,southern-california
UTEP,texas-el-paso
UTSA,texas-san-antonio
UW–Green Bay,green-bay
UW-Green Bay,green-bay
UW–Milwaukee,milwaukee
UW-Milwaukee,milwaukee
Utah,utah
Utah State,utah-state
VCU,virginia-commonwealth
Valparaiso,valparaiso
Vanderbilt,vanderbilt
Vermont,vermont
Villanova,villanova
Virginia,virginia
Virginia Tech,virginia-tech
Wagner,wagner
Wake Forest,wake-forest
Washington,washington
Washington State,washington-state
Weber State,weber-state
West Virginia,west-virginia
Western Carolina,western-carolina
Western Kentucky,western-kentucky
Western Michigan,western-michigan
Wichita State,wichita-state
Winthrop,winthrop
Wisconsin,wisconsin
Wofford,wofford
Wright State,wright-state
Wyoming,wyoming
Xavier,xavier
Yale,yale
