team,year,ncaa_wins,ncaa_loss,ps_per_game,pa_per_game,srs,sos,fg_per_game,fga_per_game,fg_pct,fg2_per_game,fg2a_per_game,fg2_pct,fg3_per_game,fg3a_per_game,fg3_pct,ft_per_game,fta_per_game,ft_pct,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,offensive_rating,defensive_rating
North Carolina,1994,Liberty,Boston College,85.6,72.4,22.62,9.39,31.2,62.5,0.499,27.1,50.0,0.541,4.1,12.5,0.33,19.1,28.8,0.665,,,43.7,18.5,8.1,6.3,15.2,16.5,,
Connecticut,1994,"Rider, George Washington",Florida,84.9,68.6,22.58,6.26,30.7,62.1,0.495,25.1,46.8,0.536,5.6,15.3,0.369,17.8,24.7,0.721,,,41.5,18.5,8.7,6.4,15.4,18.8,,
Florida,1994,"James Madison, Pennsylvania, Connecticut, Boston College",Duke,75.1,67.9,16.18,9.08,26.6,58.6,0.454,21.3,43.9,0.486,5.3,14.7,0.36,16.5,23.4,0.705,,,39.9,14.3,8.2,3.9,16.0,18.5,,
Temple,1994,Drexel,Indiana,63.8,54.7,17.28,8.24,23.2,55.6,0.416,18.1,40.6,0.444,5.1,15.0,0.34,12.4,19.3,0.639,,,37.5,10.1,8.2,3.5,8.5,13.4,,
Indiana,1994,"Ohio, Temple",Boston College,80.9,77.1,16.04,12.18,27.7,57.3,0.484,21.7,44.0,0.493,6.1,13.4,0.454,19.4,25.9,0.75,,,38.2,17.4,6.1,4.2,15.9,18.4,,
Nebraska,1994,,Pennsylvania,87.3,80.6,13.56,6.86,31.9,65.9,0.483,25.4,47.1,0.539,6.5,18.8,0.344,17.1,23.0,0.745,,,40.0,19.4,8.9,3.9,15.9,21.0,,
UAB,1994,,George Washington,71.4,60.2,14.69,3.49,25.9,59.1,0.439,19.2,41.5,0.463,6.7,17.6,0.381,12.8,18.9,0.68,,,37.7,12.7,7.7,2.9,12.0,17.3,,
Washington State,1994,,Boston College,76.0,69.0,13.77,7.66,27.3,57.8,0.472,20.2,38.5,0.523,7.1,19.3,0.37,14.3,20.4,0.7,,,36.5,13.8,7.5,3.0,15.6,19.0,,
Boston College,1994,"Washington State, North Carolina, Indiana",Florida,78.2,70.0,16.78,9.81,27.8,58.9,0.471,20.9,41.9,0.498,6.9,17.0,0.404,15.8,23.1,0.682,,,37.8,15.8,6.9,2.1,13.6,17.8,,
George Washington,1994,UAB,Connecticut,69.3,66.4,9.17,6.27,24.1,59.2,0.407,18.0,40.9,0.441,6.1,18.3,0.333,14.9,23.0,0.647,,,40.5,13.1,7.8,4.3,14.7,21.5,,
Penn,1994,Nebraska,Florida,76.4,64.2,5.92,-5.15,26.9,60.6,0.443,19.5,39.6,0.491,7.4,21.0,0.354,15.2,21.4,0.711,,,36.9,14.6,9.3,3.0,12.3,17.5,,
Ohio,1994,,Indiana,80.8,69.2,11.5,0.21,28.0,58.9,0.475,21.7,42.9,0.506,6.3,16.1,0.392,18.5,27.6,0.672,,,39.8,14.8,5.8,5.1,14.9,19.4,,
Drexel,1994,,Temple,76.5,65.6,3.27,-6.21,26.6,59.2,0.449,19.8,41.1,0.481,6.8,18.1,0.376,16.5,26.2,0.631,,,42.1,16.8,5.2,2.3,12.2,18.7,,
James Madison,1994,,Florida,83.3,79.7,2.19,-1.41,29.7,59.4,0.499,23.0,42.6,0.54,6.7,16.8,0.396,17.3,24.1,0.717,,,34.7,14.9,5.8,3.8,15.3,18.7,,
Rider,1994,,Connecticut,76.0,70.6,-0.89,-6.29,27.9,56.8,0.492,23.4,45.2,0.517,4.6,11.5,0.396,15.6,24.0,0.65,,,36.6,15.6,7.8,4.0,15.6,19.8,,
Liberty,1994,,North Carolina,71.7,69.7,-6.66,-6.95,24.8,55.4,0.447,17.7,36.2,0.49,7.0,19.2,0.366,15.2,21.2,0.715,,,36.6,16.0,5.8,4.2,15.6,17.1,,
Arkansas,1994,"North Carolina A&T, Georgetown, Tulsa, Michigan, Arizona, Duke",,93.4,75.6,23.97,7.64,33.9,69.5,0.488,25.1,46.6,0.538,8.9,22.9,0.387,16.7,24.5,0.68,,,41.6,20.2,10.4,3.8,15.9,20.8,,
UMass,1994,Texas State,Maryland,76.4,65.9,16.69,6.21,27.3,61.5,0.444,22.9,47.5,0.481,4.5,14.0,0.32,17.2,27.3,0.632,,,41.9,15.5,7.4,6.1,15.1,20.0,,
Michigan,1994,"Pepperdine, Texas, Maryland",Arkansas,79.8,73.5,18.46,12.15,30.3,62.1,0.487,24.8,46.6,0.533,5.4,15.5,0.349,13.9,20.7,0.673,,,36.8,16.4,8.3,2.7,15.4,19.7,,
Oklahoma State,1994,New Mexico State,Tulsa,80.5,68.8,17.65,8.37,28.5,58.8,0.485,20.9,40.6,0.515,7.6,18.2,0.417,15.9,23.7,0.672,,,37.8,19.9,7.8,3.3,14.7,19.2,,
UCLA,1994,,Tulsa,86.1,76.5,16.31,6.77,32.3,67.1,0.482,28.4,55.6,0.511,3.9,11.5,0.343,17.5,25.0,0.701,,,43.9,17.7,7.8,4.3,16.4,21.4,,
Texas,1994,Western Kentucky,Michigan,91.7,79.6,15.11,2.94,33.5,71.7,0.467,26.6,50.9,0.523,6.9,20.8,0.329,17.9,27.6,0.65,,,40.8,16.7,13.3,3.9,16.1,21.9,,
Saint Louis,1994,,Maryland,80.6,70.2,12.75,3.14,28.1,60.8,0.463,19.4,38.3,0.507,8.7,22.6,0.387,15.6,22.0,0.71,,,32.9,17.6,9.5,1.1,12.7,17.6,,
Illinois,1994,,Georgetown,84.0,74.8,19.11,9.9,29.8,62.1,0.479,24.0,46.5,0.515,5.8,15.6,0.372,18.8,26.1,0.717,,,38.6,17.3,6.1,2.8,13.4,18.8,,
Georgetown,1994,Illinois,Arkansas,73.0,65.7,17.39,12.05,24.7,57.5,0.43,20.5,43.9,0.466,4.3,13.6,0.313,19.4,27.4,0.707,,,39.2,13.7,8.5,4.3,17.1,21.4,,
Maryland,1994,"Saint Louis, Massachusetts",Michigan,80.0,73.2,14.13,7.4,28.9,63.4,0.457,24.2,50.0,0.485,4.7,13.4,0.352,17.4,25.5,0.681,,,39.8,16.7,10.1,5.9,17.9,20.8,,
